,i,j,distance,street
559,10726,10732,3.4500661964457766,Manhattan Avenue
560,14557,14558,2.0302518047142892,Pike Street
561,20680,20677,2.0755313750957645,Henry Hudson Bridge
562,5,4828,8.617528592281955,Broadway
563,3302,9902,3.1599581658715077,Christopher Street
564,4353,4354,1.1677718344223946,Fort George Avenue
565,1112,1113,0.4454138600446209,State Street Plaza
566,3467,3466,2.153859014929458,River Terrace
567,3139,4025,4.470632454521057,Frederick Douglass Boulevard
568,3633,4966,8.208286931500718,Saint Nicholas Avenue
569,17073,14531,14.440422323121963,East 71st Street
570,16878,8190,1.3780370568938485,unknown
571,10162,10163,15.136894061423881,West 31 Street
572,9526,9527,0.472078956606119,unknown
573,10583,5641,7.135590277893196,Riverside Drive
574,56,57,0.4811482580590947,unknown
575,1122,1120,3.855329202265544,Hudson Street
576,14261,11775,6.687762094170475,West 166th Street
577,8665,18670,0.3027044062798299,Division Street
578,16398,2201,8.04812555856896,Amsterdam Avenue
579,5476,5475,0.564106936554089,West 190th Street
580,13868,13869,0.957160437643442,Delancey Street
581,20993,20992,0.15889880766862258,Central Park West 67th Approach
